Time,Country Name,GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",Gross savings (% of GDP) [NY.GNS.ICTR.ZS],"Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]","Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"
2017,Afghanistan,516.6798622,0.06476419501,,0.2747965991,,11.18000031,11.18000031,3.530422461,,64.13
2017,Albania,4531.019374,3.897740606,78.194274,7.855470516,16.52936416,13.61999989,13.61999989,6.158147094,,78.333
2017,Algeria,4109.698217,-0.7504566919,55.32140302,0.7232598725,38.72606851,13.56999969,10.33300018,23.91892299,,76.499
2017,American Samoa,11003.82976,-6.783548017,161.4379085,,,,,10.94771242,,
2017,Andorra,38964.90448,0.734439351,,,,,,,,
2017,Angola,4095.810057,-3.409983376,52.25682145,-6.057209206,23.35194559,,7.407999992,6.580549623,,60.379
2017,Antigua and Barbuda,15383.5764,2.166114044,133.870868,10.30476282,15.24942014,,,2.490702756,,76.752
2017,Argentina,14613.04182,1.757648183,25.28960114,1.789364285,13.07666717,8.350000381,8.350000381,12.83516834,,76.372
2017,Armenia,3914.527854,7.18452239,87.20237654,2.176846777,16.89533246,17.70000076,17.70000076,10.63112611,,74.797
2017,Aruba,29350.80502,1.519821434,143.8042379,5.253588366,14.15303855,,,,,76.01
2017,Australia,53934.25018,0.587161103,41.93975606,3.632469395,21.80423664,5.590000153,5.590000153,5.798737462,,82.5
2017,Austria,47312.00623,1.550724086,104.9388449,3.247927511,26.34084689,5.5,5.5,16.84270767,,81.64390244
2017,Azerbaijan,4147.089716,-0.7784160658,90.40231568,7.016879437,29.02575368,4.960000038,5,4.699464584,,72.693
2017,"Bahamas, The",32376.50917,0.6064964178,71.98313875,2.464360568,15.48855631,9.800000191,9.800000191,2.764630209,,73.554
2017,Bahrain,23742.93734,-0.4754733818,143.0866673,1.462722688,28.8557475,,1.182999969,18.50542879,,77.032
2017,Bangladesh,1563.767819,6.136478312,35.30400009,0.7249966424,35.23343399,4.369999886,4.369999886,17.30064127,,72.052
2017,Barbados,17391.66891,0.3238165311,82.91430092,4.141369279,,8.619999886,8.619999886,,,78.981
2017,Belarus,5785.670673,2.644807522,133.3677547,2.332138504,28.01703764,5.650000095,5.650000095,21.6291152,,74.12926829
2017,Belgium,44089.31009,1.228866236,165.3258363,-7.435122637,25.15179436,7.090000153,7.090000153,12.42911753,,81.49268293
2017,Belize,4945.857699,-0.1847950308,112.0729024,1.712731085,11.98812684,6.599999905,6.599999905,6.760656102,,74.365
2017,Benin,1136.593872,2.805281504,61.47659696,1.581705088,17.39915475,,1.644000053,9.62006825,,61.174
2017,Bermuda,111820.5815,4.716102205,72.39242845,-4.033835397,40.48283833,,,0.4636591268,,81.44195122
2017,Bhutan,3286.596744,3.408611367,81.20673937,-0.6755630463,29.46401148,,2.453000069,7.507318433,,71.129
